Location,Coordinates,Date,Description,Weaponry,Casulties,Shot Down
Adamit,"33.0797, 35.211",11-07-2024,"On 11 July 2024, Hezbollah forces in Lebanon fired one projectile toward Adamit (Akko, HaZafon). The projectile fell in an open area in Adamit. Hezbollah announced that they struck a building used Israeli forces sparking a fire in the area. No casualties occurred.",projectile,0,0
Malkiyya,"33.0983, 35.5108",11-07-2024,"On 11 July 2024, Hezbollah announced that they struck Israeli military equipment in Malkiyya (Zefat, HaZafon) achieving direct hits. No casualties occurred.",unknown,0,0
Hanita,"33.0875, 35.1736",11-07-2024,"Other: On 11 July 2024, Hezbollah forces in Lebanon claimed responsibility for firing missiles toward an IDF site in the area of Hanita (Akko, HaZafon) and hitting them directly. Sirens sounded in Hanita, but no Israeli sources confirmed the attempted attack.",missiles,0,0
Zarit,"33.0996, 35.2889",11-07-2024,"On 11 July 2024, Hezbollah forces in Lebanon targeted an IDF site in the area of Zarit (Akko, HaZafon) with a heavy Burkan missile. The missile fell in an open area near Zarit. No casualties occurred.",unknown,0,0
Shetula,"33.0852, 35.3149",11-07-2024,"On 11 July 2024, Hezbollah forces in Lebanon fired anti-tank missiles at Shetula (Akko, HaZafon). As a result of direct hits, at least one building was damaged and a fire erupted in the building. No casualties occurred. Hezbollah forces claimed to have targeted buildings being used by IDF soldiers.",missiles,0,0
Hanita,"33.0875, 35.1736",11-07-2024,"On 11 July 2024, Hezbollah announced the targeting of Israeli forces in the vicinity of Hanita (Akko, HaZafon) achieving direct hits. No casualties occurred.",unknown,0,0
Kiryat Shmona,"33.2073, 35.572",11-07-2024,"Interception: On 11 July 2024, Israeli military forces intercepted a \",unknown,0,0
Kabri,"33.0209, 35.1484",11-07-2024,"On 11 July 2024, Hezbollah forces launched several explosive-laden drones that fell and exploded in the area of Kabri (Akko, HaZafon). As a result of at least three drones falling in Kabri, a reservist soldier was killed and damage was caused to vehicles, houses, and other property. Hezbollah forces claimed to have been targeting an Israeli artillery command and control base in the area.",drone,1,0
Dafna,"33.2301, 35.6387",10-07-2024,"On 10 July 2024, Hezbollah forces in Lebanon fired about 30 rockets toward the Galilee Panhandle, including Dafna (Zefat, HaZafon), HaGoshrim, Snir, and surrounding areas. Some of the rockets were intercepted. No direct hits to populated areas were reported, as the remainder of the rockets fell in open areas, some likely in the area of Dafna. No casualties occurred.",rockets,0,0
HaGoshrim,"33.2206, 35.6233",10-07-2024,"On 10 July 2024, Hezbollah forces in Lebanon fired about 30 rockets toward the Galilee Panhandle, including Dafna, HaGoshrim (Zefat, HaZafon), Snir, and surrounding areas. Some of the rockets were intercepted. No direct hits to populated areas were reported, as the remainder of the rockets fell in open areas, some likely in the area of HaGoshrim. No casualties occurred.",rockets,0,0
Shetula,"33.0852, 35.3149",10-07-2024,"On 10 July 2024, Hezbollah forces in Lebanon fired a rocket toward Shetula (Akko, HaZafon). The rocket fell in an open area near Shetula. No casualties occurred.",unknown,0,0
Snir,"33.2407, 35.6773",10-07-2024,"On 10 July 2024, Hezbollah forces in Lebanon fired about 30 rockets toward the Galilee Panhandle, including Dafna, HaGoshrim, Snir (Zefat, HaZafon), and surrounding areas. Some of the rockets were intercepted. No direct hits to populated areas were reported, as the remainder of the rockets fell in open areas, some likely in the area of Snir. No casualties occurred.",rockets,0,0
Avivim,"33.0889, 35.4723",09-07-2024,"On 9 July 2024, Hezbollah forces in Lebanon fired an anti-tank missile toward Avivim (Zefat, HaZafon). The missile fell in an open area next to Avivim, causing a fire in the area. No casualties occurred.",anti-tank,0,0
Misgav Am,"33.2474, 35.5489",09-07-2024,"On 9 July 2024, Hezbollah forces in Lebanon fired an unspecified number of projectiles -- likely a small number -- toward the area of Misgav Am (Zefat, HaZafon). No interceptions or direct hits to populated areas were reported, as the projectiles likely fell in open areas near Misgav Am. Israeli military forces struck the building from which two Hezbollah militants carried out the attack.",projectile,0,0
Menara,"33.1969, 35.5439",09-07-2024,"Other: On 9 July 2024, Hezbollah forces in Lebanon claimed to have shelled an IDF post in the area of Menara (Zefat, HaZafon). Israeli sources did not confirm the attempted attack.",unknown,0,0
Emeq HaHula,"33.1572, 35.6062",08-07-2024,"On 8 July 2024, Hezbollah forces in Lebanon fired a barrage of about nine rockets toward Emeq HaHula (Zefat, HaZafon), Yesud HaMaala, and surrounding areas. The rockets fell in open areas near Yesud HaMaala and Emeq HaHula. No casualties occurred.",rockets,0,0
Fassuta,"33.049, 35.3089",08-07-2024,"On 8 July 2024, Hezbollah forces in Lebanon fired about seven rockets toward Shetula, Fassuta (Akko, HaZafon), and Netu\",rockets,0,0
Yesud HaMaala,"33.0592, 35.6103",08-07-2024,"On 8 July 2024, Hezbollah forces in Lebanon fired a barrage of about nine rockets toward Emeq HaHula, Yesud HaMaala (Zefat, HaZafon), and surrounding areas. The rockets fell in open areas near Yesud HaMaala and Emeq HaHula. No casualties occurred.",rockets,0,0
Metulla,"33.2792, 35.5795",08-07-2024,"On 8 July 2024, Hezbollah forces in Lebanon fired an anti-tank missile toward Metulla (Zefat, HaZafon). The missile hit an open area near Metulla, causing a fire in the area. No casualties occurred.",anti-tank,0,0
HaGoshrim,"33.2206, 35.6233",08-07-2024,"On 8 July 2024, Hezbollah forces in Lebanon fired at least ten rockets toward the Upper Galilee, including Kiryat Shmona, HaGoshrim (Zefat, HaZafon), and surrounding areas. Some of the rockets were intercepted. One rocket hit a building in HaGoshrim, causing damage. No casualties occurred.",rockets,0,0
Shetula,"33.0852, 35.3149",08-07-2024,"On 8 July 2024, Hezbollah forces in Lebanon fired about seven rockets toward Shetula (Akko, HaZafon), Fassuta, and Netu\",rockets,0,0
Menara,"33.1969, 35.5439",08-07-2024,"Other: On 8 July 2024, Hezbollah forces in Lebanon claimed to have targeted an IDF site in the area of Menara (Zefat, HaZafon). Israeli sources did not confirm the attempted attack.",unknown,0,0
Menara,"33.1969, 35.5439",08-07-2024,"On 8 July 2024, Hezbollah forces announced that they struck a building used by Israeli forces in Menara (Zefat, HaZafon). No casualties occurred.",unknown,0,0
Kiryat Shmona,"33.2073, 35.572",08-07-2024,"On 8 July 2024, Hezbollah forces in Lebanon fired at least ten rockets toward the Upper Galilee, including Kiryat Shmona (Zefat, HaZafon), HaGoshrim, and surrounding areas. Some of the rockets were intercepted. One direct hit was reported in HaGoshrim. The remainder of the rockets likely fell in open areas near Kiryat Shmona.",rockets,0,0
Kefar Blum,"33.1717, 35.6098",07-07-2024,"Interception: On 7 July 2024, Israeli military forces intercepted several \",unknown,0,0
Kefar Zeitim,"32.8114, 35.4636",07-07-2024,"On 7 July 2024, Hezbollah forces in Lebanon fired about 20 rockets toward the area of Tiberias and surrounding towns, including Kefar Zeitim (Kinneret, HaZafon). Some of the rockets were intercepted. One rocket hit an open area near Kefar Zeitim, seriously injuring a civilian. Fires also broke out near Kfar Zeitim as a result of rocket fire. Hezbollah forces claimed to have been targeting IDF bases in the area and stated that the barrage was in response to Israel killing a Hezbollah operative the previous day.",rockets,1,0
Beit Jann,"32.9646, 35.3815",07-07-2024,"On 7 July 2024, Hezbollah forces in Lebanon fired a barrage of at least 20 rockets toward the area of Mount Meron and surrounding areas, including Beit Jann (Akko, HaZafon). Hezbollah forces were targeting an IDF air traffic base on Mount Meron. Some of the rockets were intercepted. No direct hits to populated areas were reported, as the remainder of the rockets fell in open areas, some likely near Beit Jann, sparking fires in the area. No casualties occurred. The barrage was in response to Israel killing a Hezbollah operative the previous day.",rockets,0,0
Hazorim,"32.7471, 35.5027",07-07-2024,"On 7 July 2024, Hezbollah forces in Lebanon fired about 20 rockets toward the area of Tiberias and surrounding towns, including Hazorim (Kinneret, HaZafon). As a result of the rocket fire, fires broke out in the area of Hazorim. Some of the rockets were intercepted. Hezbollah forces claimed to have been targeting IDF bases in the area and stated that the barrage was in response to Israel killing a Hezbollah operative the previous day.",rockets,0,0
Huqoq,"32.8792, 35.4956",07-07-2024,"On 7 July 2024, Hezbollah forces in Lebanon fired about 20 rockets toward the area of Tiberias and surrounding towns. Due to the rocket fire, a fire broke out near Amud Stream in the area of Huqoq (Kinneret, HaZafon). No casualties occurred. Some of the rockets were intercepted. Hezbollah forces claimed to have been targeting IDF bases in the area and stated that the barrage was in response to Israel killing a Hezbollah operative the previous day.",rockets,0,0
Kidmat Galil,"32.7862, 35.4637",07-07-2024,"On 7 July 2024, Hezbollah forces in Lebanon fired about 20 rockets toward the area of Tiberias and surrounding towns, including Kidmat Galil (Kinneret, HaZafon). As a result of the rocket fire, fires broke out in the area of Kidmat Galil. Some of the rockets were intercepted. Hezbollah forces claimed to have been targeting IDF bases in the area and stated that the barrage was in response to Israel killing a Hezbollah operative the previous day.",rockets,0,0
Lavi,"32.7865, 35.4394",07-07-2024,"On 7 July 2024, Hezbollah forces in Lebanon fired about 20 rockets toward the area of Tiberias and surrounding towns, including Lavi (Kinneret, HaZafon). As a result of the rocket fire, fires broke out in the area of Lavi. Some of the rockets were intercepted. Hezbollah forces claimed to have been targeting IDF bases in the area and stated that the barrage was in response to Israel killing a Hezbollah operative the previous day.",rockets,0,0
Safed,"32.9647, 35.496",07-07-2024,"On 7 July 2024, Hezbollah forces in Lebanon fired at least ten rockets toward Safed (Zefat, HaZafon) and surrounding areas. The rockets fell in open areas near Safed. No casualties occurred.",rockets,0,0
Zarit,"33.0996, 35.2889",07-07-2024,"On 7 July 2024, Hezbollah forces in Lebanon fired an anti-tank missile toward an IDF post in the area of Zarit (Akko, HaZafon). As a result of a direct hit near Zarit, three people were injured. An American citizen was seriously injured, while an IDF soldier and an Israeli civilian were lightly injured from the missile attack.",anti-tank,1,0
Shomera,"33.0827, 35.2838",07-07-2024,"On 7 July 2024, Hezbollah forces in Lebanon fired one projectile toward Shomera (Akko, HaZafon). No interceptions or direct hits to populated areas were reported, as the projectile likely fell in an open area near Shomera. No casualties occurred.",projectile,0,0
Shetula,"33.0852, 35.3149",07-07-2024,"On 7 July 2024, Hezbollah forces in Lebanon fired two anti-tank missiles toward the area of Shetula (Akko, HaZafon). No interceptions or direct hits to populated areas were reported, as the missiles likely fell in open areas near Shetula. No casualties occurred. In response, Israeli military forces struck the launch site in Aita ech Chaab (coded separately).",missiles,0,0
Ramot Naftali,"33.1015, 35.5532",07-07-2024,"Interception: On 7 July 2024, Israeli military forces intercepted a \",unknown,0,0
Mount Meron Base,"32.9975, 35.4123",07-07-2024,"On 7 July 2024, Hezbollah forces in Lebanon fired a barrage of at least 20 rockets toward the area of Mount Meron (Akko, HaZafon). Hezbollah forces were targeting an IDF air traffic base on Mount Meron. Some of the rockets were intercepted. No direct hits to populated areas were reported, as the remainder of the rockets fell in open areas near Mount Meron, sparking fires in the area. No casualties occurred. The barrage was in response to Israel killing a Hezbollah operative the previous day.",rockets,0,0
Kiryat Shmona,"33.2073, 35.572",06-07-2024,"Interception: On 6 July 2024, Israeli military forces intercepted two \",unknown,0,0
Beit Hillel,"33.2086, 35.607",06-07-2024,"On 6 July 2024, Hezbollah forces in Lebanon launched two \",unknown,0,0
Betzet,"33.0714, 35.1347",05-07-2024,"On 5 July 2024, Hezbollah forces in Lebanon fired two rockets toward Betzet (Akko, HaZafon) and surrounding towns. The rockets fell in open areas near Betzet, sparking fires in the area. No casualties occurred.",rockets,0,0
Margaliyyot,"33.2147, 35.5449",05-07-2024,"On 5 July 2024, Hezbollah forces in Lebanon fired about ten rockets at Margaliyyot (Zefat, HaZafon). At least one of the rockets fell on a soccer field in Margaliyyot, sparking a fire. The rest likely fell in open areas in and around Margaliyyot. No casualties occurred.",rockets,0,0
Margaliyyot,"33.2147, 35.5449",05-07-2024,"On 5 July 2024, Hezbollah forces in Lebanon fired about ten rockets at Margaliyyot (Zefat, HaZafon). At least one of the rockets fell in Margaliyyot, sparking a fire. The rest likely fell in open areas in and near Margaliyyot. No casualties occurred.",rockets,0,0
Zarit,"33.0996, 35.2889",05-07-2024,"On 5 July 2024, Hezbollah forces in Lebanon fired five rockets toward the area of Zarit (Akko, HaZafon). No interceptions or direct hits to populated areas were reported, as the rockets likely fell in open areas near Zarit. No casualties occurred.",rockets,0,0
Kiryat Shmona,"33.2073, 35.572",05-07-2024,"On 5 July 2024, Hezbollah forces in Lebanon fired five rockets toward Kiryat Shmona (Zefat, HaZafon). One of the rockets was intercpepted. The remainder fell in Kiryat Shmona. Two IDF soldiers were injured as a result of direct hits to Kiryat Shmona. Additionally, a building in Kiryat Shmona was damaged by rocket fire. In retaliation, Israeli military forces struck the launch site in Marwahin and an observation post in Houla (coded separately).",rockets,1,0
Adamit,"33.0797, 35.211",04-07-2024,"On 4 July 2024, Hezbollah forces announced they struck a building used by Israeli forces in Adamit (Akko, HaZafon), sparking a fire in the building and achieved direct hits. Unknown fatalities.",unknown,0,0
Amuka,"32.997, 35.5255",04-07-2024,"On 4 July 2024, Hezbollah forces in Lebanon fired about 200 rockets and 20 drones toward the Golan Heights and northern Israeli communities. Most of the rockets fell in open areas. Some of the projectiles, including most of the drones, were intercepted. Fires broke out near the tomb of Rabbi Yonatan Ben Uziel, in the area of Amuka (Zefat, HaZafon). In retaliation, Israeli military forces struck targets and launch sites in Lebanon, including Chihhine, Blat, and Chebaa (coded separately).",rockets,0,0
Ayelet HaShahar,"33.0222, 35.5772",04-07-2024,"On 4 July 2024, Hezbollah forces in Lebanon fired about 200 rockets and 20 drones toward the Golan Heights and northern Israeli communities, including the area of Ayelet HaShahar (Zefat, HaZafon). Most of the rockets fell in open areas, some in the area of Ayelet HaShahar. Fires broke out in the area of Ayelet HaShahar due to rocket fire. Some of the projectiles, including most of the drones, were intercepted. In retaliation, Israeli military forces struck targets and launch sites in Lebanon, including Chihhine, Blat, and Chebaa (coded separately).",rockets,0,0
Baram,"33.0592, 35.4338",04-07-2024,"On 4 July 2024, Hezbollah forces in Lebanon fired about 200 rockets and 20 drones toward the Golan Heights and northern Israeli communities, including the area of Baram (Zefat, HaZafon). Most of the rockets fell in open areas, some likely near Baram. Some of the projectiles, including most of the drones, were intercepted. In retaliation, Israeli military forces struck targets and launch sites in Lebanon, including Chihhine, Blat, and Chebaa (coded separately).",rockets,0,0
Biriya,"32.9783, 35.4997",04-07-2024,"On 4 July 2024, Hezbollah forces in Lebanon fired about 200 rockets and 20 drones toward the Golan Heights and northern Israeli communities. Most of the rockets fell in open areas. Some of the projectiles, including most of the drones, were intercepted. Fires broke out in the area of Biriya (Zefat, HaZafon) due to the rocket fire. In retaliation, Israeli military forces struck targets and launch sites in Lebanon, including Chihhine, Blat, and Chebaa (coded separately).",rockets,0,0
Dishon,"33.0814, 35.5174",04-07-2024,"On 4 July 2024, Hezbollah forces in Lebanon fired about 200 rockets and 20 drones toward the Golan Heights and northern Israeli communities. Most of the rockets fell in open areas. Some of the projectiles, including most of the drones, were intercepted. Fires broke out in the area of Dishon (Zefat, HaZafon) due to the rocket fire. In retaliation, Israeli military forces struck targets and launch sites in Lebanon, including Chihhine, Blat, and Chebaa (coded separately).",rockets,0,0
Gonen,"33.1236, 35.6476",04-07-2024,"On 4 July 2024, Hezbollah forces in Lebanon fired about 200 rockets and 20 drones toward the Golan Heights and northern Israeli communities, including the area of Gonen (Zefat, HaZafon). Most of the rockets fell in open areas, some likely near Gonen. Some of the projectiles, including most of the drones, were intercepted. In retaliation, Israeli military forces struck targets and launch sites in Lebanon, including Chihhine, Blat, and Chebaa (coded separately).",rockets,0,0
Kafr Kanna,"32.7466, 35.3424",04-07-2024,"On 4 July 2024, Hezbollah forces in Lebanon fired about 200 rockets and 20 drones toward the Golan Heights and northern Israeli communities. Most of the rockets fell in open areas. Some of the projectiles, including most of the drones, were intercepted. Fires broke out in the area of Kafr Kanna (Yizreel, HaZafon) due to rocket fire. In retaliation, Israeli military forces struck targets and launch sites in Lebanon, including Chihhine, Blat, and Chebaa (coded separately).",rockets,0,0
Kefar Blum,"33.1717, 35.6098",04-07-2024,"On 4 July 2024, Hezbollah forces in Lebanon fired about 200 rockets and 20 drones toward the Golan Heights and northern Israeli communities, including the area of Kefar Blum (Zefat, HaZafon). Most of the rockets fell in open areas, some likely near Kefar Blum. Some of the projectiles, including most of the drones, were intercepted. In retaliation, Israeli military forces struck targets and launch sites in Lebanon, including Chihhine, Blat, and Chebaa (coded separately).",rockets,0,0
Malkiyya,"33.0983, 35.5108",04-07-2024,"On 4 July 2024, Hezbollah forces in Lebanon fired about 200 rockets and 20 drones toward the Golan Heights and northern Israeli communities, including the area of Malkiyya (Zefat, HaZafon). Most of the rockets fell in open areas, some likely near Malkiyya. Some of the projectiles, including most of the drones, were intercepted. In retaliation, Israeli military forces struck targets and launch sites in Lebanon, including Chihhine, Blat, and Chebaa (coded separately).",rockets,0,0
Nahariyya,"33.0089, 35.0981",04-07-2024,"On 4 July 2024, Hezbollah forces in Lebanon fired about 200 rockets and 20 drones toward the Golan Heights and northern Israeli communities, including the area of Nahariyya (Akko, HaZafon). Most of the rockets fell in open areas, some likely near Nahariyya. Some of the projectiles, including most of the drones, were intercepted. In retaliation, Israeli military forces struck targets and launch sites in Lebanon, including Chihhine, Blat, and Chebaa (coded separately).",rockets,0,0
Safed,"32.9647, 35.496",04-07-2024,"On 4 July 2024, Hezbollah forces in Lebanon fired about 200 rockets and 20 drones toward the Golan Heights and northern Israeli communities, including the area of Safed (Zefat, HaZafon). Most of the rockets fell in open areas, some likely near Safed. Some of the projectiles, including most of the drones, were intercepted. In retaliation, Israeli military forces struck targets and launch sites in Lebanon, including Chihhine, Blat, and Chebaa (coded separately).",rockets,0,0
Shlomi,"33.0726, 35.1458",04-07-2024,"On 4 July 2024, Hezbollah forces in Lebanon fired about 200 rockets and 20 drones toward the Golan Heights and northern Israeli communities, including Shlomi (Akko, HaZafon) and surrounding towns. Most of the rockets fell in open areas, some likely near Shlomi. Some of the projectiles, including most of the drones, were intercepted. In retaliation, Israeli military forces struck targets and launch sites in Lebanon, including Chihhine, Blat, and Chebaa (coded separately).",rockets,0,0
Yiron,"33.0776, 35.4546",04-07-2024,"On 4 July 2024, Hezbollah forces in Lebanon fired about 200 rockets and 20 drones toward the Golan Heights and northern Israeli communities, including the area of Yiron (Zefat, HaZafon). Most of the rockets fell in open areas, some likely near Yiron. Some of the projectiles, including most of the drones, were intercepted. In retaliation, Israeli military forces struck targets and launch sites in Lebanon, including Chihhine, Blat, and Chebaa (coded separately).",rockets,0,0
Zomet Golani,"32.7749, 35.408",04-07-2024,"On 4 July 2024, Hezbollah forces in Lebanon fired about 200 rockets and 20 drones toward the Golan Heights and northern Israeli communities, including the area of Zomet Golani (Kinneret, HaZafon). Most of the rockets fell in open areas, some likely near Zomet Golani. Some of the projectiles, including most of the drones, were intercepted. In retaliation, Israeli military forces struck targets and launch sites in Lebanon, including Chihhine, Blat, and Chebaa (coded separately).",rockets,0,0
Metulla,"33.2792, 35.5795",04-07-2024,"On 4 July 2024, Hezbollah forces struck Israeli spy equipment in Metulla (Zefat, HaZafon) and achieved direct hits. There were no casualties.",unknown,0,0
Metulla,"33.2792, 35.5795",04-07-2024,"On 4 July 2024, Hezbollah forces in Lebanon fired about 200 rockets and 20 drones toward the Golan Heights and northern Israeli communities. Most of the rockets fell in open areas. Some of the projectiles, including most of the drones, were intercepted. Fires broke out in the area of Metulla (Zefat, HaZafon) due to the rocket fire. Hezbollah forces claimed to have targeted IDF bases in the area. In retaliation, Israeli military forces struck targets and launch sites in Lebanon, including Chihhine, Blat, and Chebaa (coded separately).",rockets,0,0
HaGoshrim,"33.2206, 35.6233",04-07-2024,"On 4 July 2024, Hezbollah forces in Lebanon fired about 200 rockets and 20 drones toward the Golan Heights and northern Israeli communities, including the area of HaGoshrim (Zefat, HaZafon). Most of the rockets fell in open areas, some likely near HaGoshrim. Some of the projectiles, including most of the drones, were intercepted. In retaliation, Israeli military forces struck targets and launch sites in Lebanon, including Chihhine, Blat, and Chebaa (coded separately).",rockets,0,0
Hanita,"33.0875, 35.1736",04-07-2024,"On 4 July 2024, Hezbollah forces in Lebanon fired about 200 rockets and 20 drones toward the Golan Heights and northern Israeli communities, including the area of Hanita (Akko, HaZafon). Most of the rockets fell in open areas, some likely near Hanita. Some of the projectiles, including most of the drones, were intercepted. In retaliation, Israeli military forces struck targets and launch sites in Lebanon, including Chihhine, Blat, and Chebaa (coded separately).",rockets,0,0
Margaliyyot,"33.2147, 35.5449",04-07-2024,"On 4 July 2024, Hezbollah forces in Lebanon fired about 200 rockets and 20 drones toward the Golan Heights and northern Israeli communities, including the area of Margaliyyot (Zefat, HaZafon). Most of the rockets fell in open areas, some likely near Margaliyyot. Some of the projectiles, including most of the drones, were intercepted. In retaliation, Israeli military forces struck targets and launch sites in Lebanon, including Chihhine, Blat, and Chebaa (coded separately).",rockets,0,0
Menara,"33.1969, 35.5439",04-07-2024,"On 4 July 2024, Hezbollah forces in Lebanon fired about 200 rockets and 20 drones toward the Golan Heights and northern Israeli communities, including the area of Menara (Zefat, HaZafon). Most of the rockets fell in open areas, some likely near Menara. Some of the projectiles, including most of the drones, were intercepted. In retaliation, Israeli military forces struck targets and launch sites in Lebanon, including Chihhine, Blat, and Chebaa (coded separately).",rockets,0,0
Akko,"32.9281, 35.0765",04-07-2024,"On 4 July 2024, Hezbollah forces in Lebanon fired about 200 rockets and 20 drones toward the Golan Heights and northern Israeli communities, including Akko (HaZafon). Some of the projectiles, including most of the drones, were intercepted. Shrapnel from interceptions fell on a mall in Akko, causing damage. No casualties occurred. In retaliation, Israeli military forces struck targets and launch sites in Lebanon, including Chihhine, Blat, and Chebaa (coded separately).",rockets,0,0
Ramot Naftali,"33.1015, 35.5532",04-07-2024,"On 4 July 2024, Hezbollah forces in Lebanon fired about 200 rockets and 20 drones toward the Golan Heights and northern Israeli communities. Most of the rockets fell in open areas. Some of the projectiles, including most of the drones, were intercepted. Fires broke out in the area of Ramot Naftali (Zefat, HaZafon) due to the rocket fire. In retaliation, Israeli military forces struck targets and launch sites in Lebanon, including Chihhine, Blat, and Chebaa (coded separately).",rockets,0,0
Yiftah,"33.1288, 35.5523",04-07-2024,"On 4 July 2024, Hezbollah forces in Lebanon fired about 200 rockets and 20 drones toward the Golan Heights and northern Israeli communities. Most of the rockets fell in open areas. Some of the projectiles, including most of the drones, were intercepted. Fires broke out in the area of Nahal Kadesh, near Yiftah (Zefat, HaZafon), due to the rocket fire. In retaliation, Israeli military forces struck targets and launch sites in Lebanon, including Chihhine, Blat, and Chebaa (coded separately).",rockets,0,0
Beit Hillel,"33.2086, 35.607",04-07-2024,"On 4 July 2024, Hezbollah forces in Lebanon fired about 200 rockets and 20 drones toward the Golan Heights and northern Israeli communities, including the area of Bet Hillel (Zefat, HaZafon). Most of the rockets fell in open areas, some likely near Bet Hillel. Some of the projectiles, including most of the drones, were intercepted. In retaliation, Israeli military forces struck targets and launch sites in Lebanon, including Chihhine, Blat, and Chebaa (coded separately).",rockets,0,0
Kefar Giladi,"33.2423, 35.5752",04-07-2024,"On 4 July 2024, Hezbollah forces in Lebanon fired about 200 rockets and 20 drones toward the Golan Heights and northern Israeli communities, including the area of Kefar Giladi (Zefat, HaZafon). Most of the rockets fell in open areas, some likely near Kefar Giladi. Some of the projectiles, including most of the drones, were intercepted. In retaliation, Israeli military forces struck targets and launch sites in Lebanon, including Chihhine, Blat, and Chebaa (coded separately).",rockets,0,0
Kiryat Shmona,"33.2073, 35.572",04-07-2024,"On 4 July 2024, Hezbollah forces in Lebanon fired about 200 rockets and 20 drones toward the Golan Heights and northern Israeli communities, including Kiryat Shmona (Zefat, HaZafon) and surrounding towns. Most of the rockets fell in open areas, some likely near Kiryat Shmona. Some of the projectiles, including most of the drones, were intercepted. In retaliation, Israeli military forces struck targets and launch sites in Lebanon, including Chihhine, Blat, and Chebaa (coded separately).",rockets,0,0
Maayan Baruch,"33.2403, 35.609",04-07-2024,"On 4 July 2024, Hezbollah forces in Lebanon fired about 200 rockets and 20 drones toward the Golan Heights and northern Israeli communities, including the area of Maayan Baruch (Zefat, HaZafon). Most of the rockets fell in open areas, some likely near Maayan Baruch. Some of the projectiles, including most of the drones, were intercepted. In retaliation, Israeli military forces struck targets and launch sites in Lebanon, including Chihhine, Blat, and Chebaa (coded separately).",rockets,0,0
Snir,"33.2407, 35.6773",04-07-2024,"On 4 July 2024, Hezbollah forces in Lebanon fired about 200 rockets and 20 drones toward the Golan Heights and northern Israeli communities, including the area of Snir (Zefat, HaZafon). Most of the rockets fell in open areas, some likely near Snir. Some of the projectiles, including most of the drones, were intercepted. In retaliation, Israeli military forces struck targets and launch sites in Lebanon, including Chihhine, Blat, and Chebaa (coded separately).",rockets,0,0
Zarit,"33.0996, 35.2889",03-07-2024,"On 3 July 2024, Hezbollah forces in Lebanon fired rockets toward Zarit (Akko, HaZafon). At least two houses in Zarit sustained direct hits from rocket fire, causing damage. No casualties occurred.",rockets,0,0
Dafna,"33.2301, 35.6387",03-07-2024,"On 3 July 2024, Hezbollah forces in Lebanon fired at least 100 rockets toward the Golan Heights and northern Israeli communities, including Dafna (Zefat, HaZafon) and surrounding areas. Some of the rockets were intercepted. Other rockets fell in open areas, some likely near Dafna.",rockets,0,0
Misgav Am,"33.2474, 35.5489",03-07-2024,"On 3 July 2024, Hezbollah forces in Lebanon fired at least 100 rockets toward the Golan Heights and northern Israeli communities, including Misgav Am (Zefat, HaZafon) and surrounding areas. Some of the rockets were intercepted. Other rockets fell in open areas, some likely near Misgav Am.",rockets,0,0
Menara,"33.1969, 35.5439",03-07-2024,"On 3 July 2024, Hezbollah forces in Lebanon fired at least 100 rockets toward the Golan Heights and northern Israeli communities, including Kiryat Shmona, Menara (Zefat, HaZafon), and other towns. Some of the rockets were intercepted. At least two rockets were fired at Menara. No direct hits or interceptions were reported, as the rockets likely fell in open areas near Menara. Israeli military forces struck at least one of the launch sites.",rockets,0,0
Beit Hillel,"33.2086, 35.607",03-07-2024,"On 3 July 2024, Hezbollah forces in Lebanon fired at least 100 rockets toward the Golan Heights and northern Israeli communities, including Bet Hillel (Zefat, HaZafon) and surrounding areas. Some of the rockets were intercepted. Other rockets fell in open areas, some likely near Bet Hillel.",rockets,0,0
Kiryat Shmona,"33.2073, 35.572",03-07-2024,"On 3 July 2024, Hezbollah forces in Lebanon fired at least 100 rockets toward the Golan Heights and northern Israeli communities, including Kiryat Shmona (Zefat, HaZafon), Menara, and other towns. Some of the rockets were intercepted. At least three rockets fell in open areas in Kiryat Shmona. No casualties occurred. In response, Israeli military forces struck at least one of the launch sites.",rockets,0,0
Kiryat Shmona,"33.2073, 35.572",03-07-2024,"On 3 July 2024, Hezbollah forces in Lebanon fired at least 100 rockets toward the Golan Heights and northern Israeli communities, including Kiryat Shmona (Zefat, HaZafon), Menara, and other towns. Some of the rockets were intercepted. Many rockets fell in open areas near Kiryat Shmona, sparking fires. No casualties occurred. Israeli military forces struck at least one of the launch sites.",rockets,0,0
Kiryat Shmona,"33.2073, 35.572",02-07-2024,"On 2 July 2024, Hezbollah forces in Lebanon fired 15 rockets toward Kiryat Shmona (Zefat, HaZafon) and surrounding areas. About ten of the rockets were intercepted. Most of the remainder of the rockets fell in open areas near Kiryat Shmona, sparking fires in the area. No casualties occurred. Hezbollah claimed to have targeted an IDF base in the area and achieved direct hits.",rockets,0,0
Gornot HaGalil,"33.0594, 35.2498",01-07-2024,"On 1 July 2024, Hezbollah forces in Lebanon fired two anti-tank missiles toward Gornot HaGalil (Akko, HaZafon) and surrounding areas. Hezbollah announced they struck buildings used by Israeli forces and achieved direct hits. No interceptions or direct hits were reported, as the missile likely struck open areas near Gornot HaGalil. No casualties occurred.",missiles,0,0
Dovev,"33.0522, 35.4081",01-07-2024,"On 1 July 2024, Hezbollah forces in Lebanon fired seven rockets, some of which landed in open areas near Dovev (Zefat, HaZafon), causing no casualties. Hezbollah announced that they struck buildings used by Israeli forces and achieved direct hits.",rockets,0,0
