Location,Date,Description,Weaponry,Casulties,Shot Down
Umm Touteh,29-01-2024,"On 29 January 2024, the Israeli military fired artillery shells in the vicinity of Umm Touteh town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Boustane,29-01-2024,"On 29 January 2024, the Israeli military fired artillery shells in the vicinity of Boustane town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Ed Dhayra,29-01-2024,"On 29 January 2024, the Israeli military fired artillery shells in the vicinity of Ed Dhayra town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Aalma Ech Chaab,29-01-2024,"On 29 January 2024, the Israeli military fired artillery shells in the vicinity of Aalma Ech Chaab town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Kfar Kila,29-01-2024,"On 29 January 2024, the Israeli military fired artillery and white phosphorus shells accompanied by machine gunfire in the vicinity of Kfar Kila town (Al Nabatieh, Marjayoun) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Deir Mimas,29-01-2024,"On 29 January 2024, the Israeli military fired artillery shells in the vicinity of Deir Mimas town (Al Nabatieh, Marjayoun) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Marwahin,29-01-2024,"On 29 January 2024, the Israeli military fired artillery shells in the vicinity of Marwahin town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Mazraat Sardah,29-01-2024,"On 29 January 2024, the Israeli military fired artillery shells on the outskirts of Mazraat Sardah town (Al Nabatieh, Al Nabatieh) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Yaroun,29-01-2024,"On 29 January 2024, Israeli warplanes carried out multiple airstrikes and fired artillery shells on Yaroun village (Al Nabatieh, Bint Jbeil) as cross-border exchanges continue with Hezbollah. No casualties were reported.",airstrike,0,0
Jebbayn,29-01-2024,"On 29 January 2024, the Israeli military fired artillery shells in the vicinity of Jebbayn town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Houla,29-01-2024,"On 29 January 2024, the Israeli military fired artillery shells in the vicinity of Houla town (Al Nabatieh, Marjayoun) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Houla,29-01-2024,"On 29 January 2024, Israeli warplanes carried out an airstrike on Houla town (Al Nabatieh, Marjayoun) as cross-border exchanges continue with Hezbollah. No casualties were reported.",airstrike,0,0
Chihhine,29-01-2024,"On 29 January 2024, Israeli warplanes carried out an airstrike and fired artillery shells on Chihhine town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",airstrike,0,0
Tayr Harfa,29-01-2024,"On 29 January 2024, the Israeli military fired artillery shells in the vicinity of Tayr Harfa town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Aadayseh Marjayoun,29-01-2024,"On 29 January 2024, the Israeli military fired artillery shells on Aadayseh Marjayoun (Al Nabatieh, Marjayoun) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Markaba,29-01-2024,"On 29 January 2024, the Israeli military fired artillery shells on Markaba (Al Nabatieh, Marjayoun) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Blida,29-01-2024,"On 29 January 2024, the Israeli military fired artillery shells on Blida (Al Nabatieh, Marjayoun) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Mays el Jabal,29-01-2024,"On 29 January 2024, the Israeli military fired artillery shells on Mays el Jabal (Al Nabatieh, Marjayoun) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Aitaroun,29-01-2024,"On 29 January 2024, the Israeli military fired artillery shells on Aitaroun (Al Nabatieh, Bint Jbeil) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Maroun er Ras,29-01-2024,"On 29 January 2024, the Israeli military carried out airstrikes and fired artillery shells on Maroun er Ras (Al Nabatieh, Bint Jbeil) due to continuous escalation with Hezbollah. No casualties were reported.",airstrike,0,0
Mhaibib,29-01-2024,"On 29 January 2024, the Israeli military fired artillery shells on Mhaibib (Al Nabatieh, Marjayoun) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Fradis,29-01-2024,"On 29 January 2024, the Israeli military fired artillery shells in the vicinity of Fradis town (Al Nabatieh, Hasbeiya) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Taybeh,29-01-2024,"On 29 January 2024, Israeli warplanes carried out an airstrike on Taybeh village (Al Nabatieh, Marjayoun) as cross-border exchanges continue with Hezbollah. No casualties were reported.",airstrike,0,0
Rachaya al Foukhar,29-01-2024,"On 29 January 2024, the Israeli military fired artillery shells in the vicinity of Rachaya al Foukhar (Al Nabatieh, Hasbeiya) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Rmaysh,29-01-2024,"On 29 January 2024, the Israeli military carried out airstrikes and fired artillery shells in the vicinity of Rmaysh town (Al Nabatieh, Bint Jbeil) due to continuous escalation with Hezbollah. No casualties were reported.",airstrike,0,0
Aita ech Chaab,29-01-2024,"On 29 January 2024, the Israeli military fired artillery shells in the vicinity of Aita ech Chaab town (Al Nabatieh, Bint Jbeil) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Khiyam,29-01-2024,"On 29 January 2024, the Israeli military fired artillery shells on Khiyam (Al Nabatieh, Marjayoun) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Aita ech Chaab,29-01-2024,"On 29 January 2024, Israeli warplanes carried out an airstrike on Aita ech Chaab town (Al Nabatieh, Bint Jbeil) due to continuous escalation with Hezbollah. No casualties were reported.",airstrike,0,0
Jebbayn,28-01-2024,"On 28 January 2024, an Israeli drone struck a commercial establishment in Jebbayn (South, Tyr). The strike resulted in heavy material damage. No casualties were reported.",drone,0,0
Marwahin,28-01-2024,"On 28 January 2024, the Israeli military fired artillery and white phosphorus shells on a house in Marwahin (South, Tyr). A fire broke out due to the shelling. NO casualties were reported.",shells,0,0
Ed Dhayra,28-01-2024,"On 28 January 2024, the Israeli army fired artillery shells on several houses in Ed Dhayra (South, Tyr). No casualties were reported.",shells,0,0
Ed Dhayra,28-01-2024,"On 28 January 2024, Israeli warplanes carried out airstrikes on a house in Ed Dhayra (South, Tyr). One injury and no fatalities were reported.",airstrike,0,0
Houla,28-01-2024,"On 28 January 2024, the Israeli military fired artillery and white phosphorus shells on Houla town (South, Tyr). No casualties were reported.",shells,0,0
Kfar Kila,28-01-2024,"On 28 January 2024, Hezbollah announced the death of two fighters (coded to Kfar Kila). The circumstances of the fighter\",unknown,0,0
Tayr Harfa,28-01-2024,"On 28 January 2024, the Israeli military fired artillery shells in the vicinity of Tayr Harfa town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Majdel Zoun,28-01-2024,"On 28 January 2024, the Israeli military fired artillery shells in the vicinity of Majdel Zoun town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Yarine,28-01-2024,"On 28 January 2024, the Israeli military fired artillery shells in the vicinity of Yarine town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Jabal Blat,28-01-2024,"On 28 January 2024, Israeli warplanes carried out airstrikes on Jabal Blat (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",airstrike,0,0
Houla,28-01-2024,"On 28 January 2024, Israeli jets struck an agricultural land in Houla (Al Nabatieh, Marjayoun). One of the missiles did not explode. No casualties were reported.",missiles,0,0
Chihhine,28-01-2024,"On 28 January 2024, the Israeli military fired artillery shells in the vicinity of Chihhine town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Umm Touteh,28-01-2024,"On 28 January 2024, the Israeli military fired artillery shells in the vicinity of Umm Touteh town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Kfar Kila,28-01-2024,"On 28 January 2024, the Israeli military fired artillery shells and machine guns on Kfar Kila (Al Nabatieh, Marjayoun) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Marwahin,28-01-2024,"On 28 January 2024, Israeli warplanes carried out airstrikes near Marwahin town (South, Tyr) due to continuous escalation with Hezbollah. Three fatalities were reported.",airstrike,0,0
Maroun er Ras,28-01-2024,"On 28 January 2024, Israeli warplanes carried out airstrikes on Maroun er Ras town (Al Nabatieh, Bint Jbeil) due to continuous escalation with Hezbollah. No casualties were reported.",airstrike,0,0
Markaba,28-01-2024,"On 28 January 2024, the Israeli military fired artillery and white phosphorus shells on Markaba (Al Nabatieh, Marjayoun). No casualties were reported.",shells,0,0
Ras al Naqoura,28-01-2024,"On 28 January 2024, the Israeli military fired artillery shells in the vicinity of Ras al Naqoura town (South, Tyr). No casualties were reported.",shells,0,0
Labbouneh,28-01-2024,"On 28 January 2024, the Israeli military fired artillery shells on Labbouneh town (South, Tyr). No casualties were reported.",shells,0,0
Marwahin,28-01-2024,"On 28 January 2024, Israeli warplanes carried out airstrikes on Marwahin town (South, Tyr). No casualties were reported.",airstrike,0,0
Jebbayn,28-01-2024,"On 28 January 2024, the Israeli military fired artillery shells in the vicinity of Jebbayn town (South, Tyr). No casualties were reported.",shells,0,0
Yaroun,28-01-2024,"On 28 January 2024, Israeli warplanes carried out airstrikes in the vicinity of Yaroun town (Al Nabatieh, Bint Jbeil). No casualties were reported.",airstrike,0,0
Yaroun,28-01-2024,"On 28 January 2024, the Israeli military conducted a drone strike which was accompanied by artillery shelling in the vicinity of Yaroun town (Al Nabatieh, Bint Jbeil). No casualties were reported.",drone,0,0
Majdel Zoun,28-01-2024,"On 28 January 2024, Israeli warplanes carried out an airstrike in the vicinity of Majdel Zoun village (South, Tyr). No casualties were reported.",airstrike,0,0
Zebqine,28-01-2024,"On 28 January 2024, the Israeli army announced that its fighter jets struck Hezbollah military sites in the vicinity of Zebqine town (South, Tyr). No casualties were reported.",unknown,0,0
Houla,28-01-2024,"On 28 January 2024, the Israeli army announced that its fighter jets struck Hezbollah military sites in the vicinity of Houla town (South, Tyr). No casualties were reported.",unknown,0,0
Yarine,28-01-2024,"On 28 January 2024, Israeli fighter jets struck targets in the vicinity of Yarine town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",unknown,0,0
Umm Touteh,28-01-2024,"On 28 January 2024, Israeli fighter jets struck targets in the vicinity of Umm Touteh town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",unknown,0,0
Talouseh,28-01-2024,"On 28 January 2024, the Israeli military fired artillery shells in the vicinity of Talouseh town (Al Nabatieh, Marjayoun). No casualties were reported.",shells,0,0
Aita ech Chaab,28-01-2024,"On 28 January 2024, Hezbollah announced the death of a fighter (coded to Aita ech Chaab). The circumstances of the fighter\",unknown,0,0
Ramieh,28-01-2024,"On 28 January 2024, the Israeli military fired artillery shells on an open area between Al Kawzah, Aita ech Chaab, and Ramieh (Al Nabatieh, Bint Jbeil) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Ramieh,28-01-2024,"On 28 January 2024, Israeli warplanes carried out airstrikes on an open area between Al Kawzah, Aita ech Chaab, and Ramieh (Al Nabatieh, Bint Jbeil) due to continuous escalation with Hezbollah. No casualties were reported.",airstrike,0,0
Aita ech Chaab,28-01-2024,"On 28 January 2024, Israeli warplanes carried out airstrikes on Aita ech Chaab town (Al Nabatieh, Bint Jbeil) due to continuous escalation with Hezbollah. No casualties were reported.",airstrike,0,0
Tayr Harfa,27-01-2024,"Interception: On 27 January 2024, the Israeli Iron dome intercepted a missile believed to be launched by Hezbollah (this is due to continuous clashes along the aforementioned town) in Tayr Harfa (South, Tyr). No casualties were reported.",unknown,0,0
Mays el Jabal,27-01-2024,"On 27 January 2024, the Israeli military fired artillery shells in the vicinity of Mays el Jabal town (Al Nabatieh, Marjayoun) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Kfar Kila,27-01-2024,"On 27 January 2024, the Israeli military fired mortar shells on Kfar Kila town (Al Nabatieh, Marjayoun) due to continuous escalation with Hezbollah. No casualties were reported.",mortar,0,0
Tayr Harfa,27-01-2024,"On 27 January 2024, the Israeli military fired artillery shells in the vicinity of Tayr Harfa town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Blida,27-01-2024,"On 27 January 2024, Israeli warplanes carried out airstrikes on Blida town (Al Nabatieh, Marjayoun) due to continuous escalation with Hezbollah. No casualties were reported.",airstrike,0,0
Ras al Naqoura,27-01-2024,"On 27 January 2024, the Israeli military fired artillery shells and used machine guns in the vicinity of Ras al Naqoura (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Yarine,27-01-2024,"On 27 January 2024, the Israeli military used machine guns and fired artillery shells in the vicinity of Yarine town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Boustane,27-01-2024,"On 27 January 2024, the Israeli military used machine guns and fired artillery shells in the vicinity of Boustane town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Umm Touteh,27-01-2024,"On 27 January 2024, the Israeli military used machine guns and fired artillery shells in the vicinity of Umm Touteh town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Aalma Ech Chaab,27-01-2024,"On 27 January 2024, the Israeli military used machine guns and fired artillery shells in the vicinity of Aalma Ech Chaab town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Jabal Blat,27-01-2024,"On 27 January 2024, Israeli warplanes carried out airstrikes on Jabal Blat (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",airstrike,0,0
Houla,27-01-2024,"On 27 January 2024, the Israeli military fired artillery shells on Houla town (Al Nabatieh, Marjayoun) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Ed Dhayra,27-01-2024,"On 27 January 2024, the Israeli military fired artillery shells on Ed Dhayra town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Blida,27-01-2024,"On 27 January 2024, the Israeli military fired artillery shells in the vicinity of Blida town (Al Nabatieh, Marjayoun) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Zebqine,27-01-2024,"On 27 January 2024, the Israeli military fired artillery shells in the vicinity of Zebqine town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Chihhine,27-01-2024,"On 27 January 2024, the Israeli military fired artillery shells in the vicinity of Chihhine town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Majdel Zoun,27-01-2024,"On 27 January 2024, the Israeli military fired artillery shells in the vicinity of Majdel Zoun town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Marwahin,27-01-2024,"On 27 January 2024, Israeli warplanes carried out airstrikes in the vicinity of Marwahin town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",airstrike,0,0
Ras al Naqoura,27-01-2024,"On 27 January 2024, Israeli warplanes carried out airstrikes in the vicinity of Ras al Naqoura town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",airstrike,0,0
Jebbayn,27-01-2024,"On 27 January 2024, the Israeli military fired artillery shells in the vicinity of Jebbayn (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Yaroun,27-01-2024,"On 27 January 2024, the Israeli military fired artillery shells on Yaroun town (Al Nabatieh, Bint Jbeil) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Chihhine,27-01-2024,"On 27 January 2024, the Israeli military fired artillery shells on Chihhine town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Marwahin,27-01-2024,"On 27 January 2024, Israeli warplanes carried out airstrikes on Marwahin town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",airstrike,0,0
Maroun er Ras,27-01-2024,"On 27 January 2024, Israeli warplanes carried out airstrikes on Maroun er Ras (Al Nabatieh, Bint Jbeil) due to continuous escalation with Hezbollah. No casualties were reported.",airstrike,0,0
Rachaya al Foukhar,27-01-2024,"On 27 January 2024, the Israeli military fired artillery shells in the vicinity of Rachaya al Foukhar town (Al Nabatieh, Hasbeiya) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Aita ech Chaab,27-01-2024,"On 27 January 2024, Israeli warplanes carried out airstrikes on Aita ech Chaab town (Al Nabatieh, Bint Jbeil) due to continuous escalation with Hezbollah. No casualties were reported.",airstrike,0,0
Ramieh,27-01-2024,"On 27 January 2024, the Israeli military fired artillery shells in the vicinity of Ramieh town (Al Nabatieh, Bint Jbeil) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Aita ech Chaab,27-01-2024,"On 27 January 2024, the Israeli military fired artillery shells in the vicinity of Aita ech Chaab town (Al Nabatieh, Bint Jbeil) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Kfar Hamam,27-01-2024,"On 27 January 2024, the Israeli military fired artillery shells in the vicinity of Kfar Hamam town (Al Nabatieh, Hasbeiya) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
El Habbariye,27-01-2024,"On 27 January 2024, the Israeli military fired artillery shells in the vicinity of El Habbariye town (Al Nabatieh, Hasbeiya) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Houla,26-01-2024,"On 26 January 2024, the Israeli military fired artillery shells in the vicinity of Houla town (Al Nabatieh, Marjayoun) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Ras al Naqoura,26-01-2024,"On 26 January 2024, the Israeli military fired artillery shells in the vicinity of Ras al Naqoura town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Tayr Harfa,26-01-2024,"On 26 January 2024, the Israeli military fired artillery shells and flash bombs in the vicinity of Tayr Harfa town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Aitaroun,26-01-2024,"On 26 January 2024, the Israeli military fired artillery shells in the vicinity of Aitaroun town (Al Nabatieh, Bint Jbeil) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Mays el Jabal,26-01-2024,"On 26 January 2024, Hezbollah announced the death of a fighter (coded to Mays el Jabal). The circumstances of the fighter\",unknown,0,0
Ras al Naqoura,26-01-2024,"On 26 January 2024, Hezbollah announced the death of a fighter (coded to Ras al Naqoura). The circumstances of the fighter\",unknown,0,0
Tayr Harfa,26-01-2024,"On 26 January 2024, Hezbollah announced the death of a fighter (coded to Tayr Harfa). The circumstances of the fighter\",unknown,0,0
Hamoul,26-01-2024,"On 26 January 2024, the Israeli military fired artillery shells on Hamoul town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Beit Lif,26-01-2024,"On 26 January 2024, the Israeli military fired five artillery shells on Beit Lif town (Al Nabatieh, Bint Jbeil) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Ed Dhayra,26-01-2024,"On 26 January 2024, the Israeli military fired artillery shells and flash bombs on Ed Dhayra town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Yarine,26-01-2024,"On 26 January 2024, the Israeli military fired artillery shells and flash bombs on Yarine town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Boustane,26-01-2024,"On 26 January 2024, the Israeli military fired flash bombs on Boustane town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",unknown,0,0
Beit Lif,26-01-2024,"On 26 January 2024, Israeli jets carried out airstrikes on a civilian house in Beit Lif (Al Nabatieh, Bint Jbeil). Four people were killed and one other was injured.",airstrike,1,0
Deir Aames,26-01-2024,"On 26 January 2024, Israeli jets carried out airstrikes on an unoccupied civilian house in Deir Aames (South, Tyr). No casualties were reported.",airstrike,0,0
Jebbayn,26-01-2024,"On 26 January 2024, the Israeli military fired artillery shells and flash bombs in the vicinity of Jebbayn town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Kfar Kila,26-01-2024,"On 26 January 2024, the Israeli military fired artillery shells and flash bombs in the vicinity of Kfar Kila town (Al Nabatieh, Marjayoun) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Mays el Jabal,26-01-2024,"On 26 January 2024, the Israeli military fired artillery shells and flash bombs in the vicinity of Mays el Jabal town (Al Nabatieh, Marjayoun) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Maroun er Ras,26-01-2024,"On 26 January 2024, Israeli warplanes carried out airstrikes in the vicinity of Maroun er Ras town (Al Nabatieh, Bint Jbeil) due to continuous escalation with Hezbollah. No casualties were reported.",airstrike,0,0
Kfar Chouba,26-01-2024,"On 26 January 2024, the Israeli military fired artillery shells in the vicinity of Kfar Chouba town (Al Nabatieh, Hasbeiya) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Aalma Ech Chaab,26-01-2024,"On 26 January 2024, the Israeli military fired artillery shells on Aalma Ech Chaab town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Umm Touteh,26-01-2024,"On 26 January 2024, the Israeli military fired artillery shells on Umm Touteh town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
As Salihani,26-01-2024,"On 26 January 2024, the Israeli military fired artillery shells on As Salihani (Al Nabatieh, Bint Jbeil) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Saddiqine,26-01-2024,"On 26 January 2024, Hezbollah announced the death of a fighter (coded to Saddiqine). The circumstances of the fighter\",unknown,0,0
Rachaya al Foukhar,26-01-2024,"On 26 January 2024, the Israeli military fired artillery shells on Rachaya al Foukhar town (Al Nabatieh, Hasbeiya) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Ramieh,26-01-2024,"On 26 January 2024, the Israeli military fired artillery shells in the vicinity of Ramieh town (Al Nabatieh, Bint Jbeil) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Kfar Hamam,26-01-2024,"On 26 January 2024, the Israeli military fired artillery shells in the vicinity of Kfar Hamam town (Al Nabatieh, Hasbeiya) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Hilta,26-01-2024,"On 26 January 2024, the Israeli military fired artillery shells in the vicinity of Hilta town (Al Nabatieh, Hasbeiya) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Kherbet Selm,26-01-2024,"Interception: On 26 January 2024, an Israeli Iron dome missile intercepted a missile believed to be launched by Hezbollah towards Israel in Kherbet Selm (Al Nabatieh, Marjayoun). No casualties were reported.",unknown,0,0
Aita ech Chaab,26-01-2024,"On 26 January 2024, the Israeli military fired artillery shells on Aita ech Chaab town (Al Nabatieh, Bint Jbeil) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Aita ech Chaab,26-01-2024,"Interception: On 26 January 2024, two Israeli Iron dome missiles intercepted missiles believed to be launched by Hezbollah towards Israel in Aita ech Chaab (Al Nabatieh, Bint Jbeil). No casualties were reported.",missiles,0,0
Rmaysh,26-01-2024,"On 26 January 2024, the Israeli military fired artillery shells on Rmaysh town (Al Nabatieh, Bint Jbeil) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Tyr,26-01-2024,"On 26 January 2024, the Israeli military attacked Hezbollah infrastructure in southern Lebanon (coded to Tyr). No casualties were reported.",unknown,0,0
Marwahin,26-01-2024,"Other: On 26 January 2024, the Israeli military fired flash bombs on Marwahin town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",unknown,0,0
Bazouriye,25-01-2024,"On 25 January 2024, at least two people were injured after an Israeli airstrike targeted a house in Bazouriye town (South, Tyr).",airstrike,1,0
Kfar Kila,25-01-2024,"On 25 January 2024, Israeli warplanes carried out an airstrike on a house in Kfar Kila (Al Nabatieh, Marjayoun). A shopping mall along with some shops were heavily damaged due to the strike. No casualties were reported.",airstrike,0,0
Tayr Harfa,25-01-2024,"On 25 January 2024, Israeli warplanes carried out an airstrike on a house in Tayr Harfa town (South, Tyr) and fired artillery shells on the town. There were no fatalities or injuries.",airstrike,0,0
Khiyam,25-01-2024,"On 25 January 2024, an Israeli drone carried out an airstrike on a house in Khiyam town (South, Tyr) due to continuous escalation with Hezbollah. There were no casualties.",drone,0,0
Labbouneh,25-01-2024,"On 25 January 2024, the Israeli military fired artillery shells on Labbouneh town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Ras al Naqoura,25-01-2024,"On 25 January 2024, the Israeli military fired artillery shells in the vicinity of Ras al Naqoura town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Yarine,25-01-2024,"On 25 January 2024, the Israeli military fired artillery shells on Yarine town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Ed Dhayra,25-01-2024,"On 25 January 2024, the Israeli military fired artillery and white phosphorus shells on Ed Dhayra town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported. HRW and other international organizations have accused Israel of using white phosphorus in Lebanon and Gaza",shells,0,0
Blida,25-01-2024,"On 25 January 2024, Israeli warplanes carried out an airstrike on Blida town (Al Nabatieh, Marjayoun). No casualties were reported.",airstrike,0,0
El Mansouri,25-01-2024,"On 25 January 2024, Israeli drones fired missiles on El Mansouri town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",drone,0,0
Aalma Ech Chaab,25-01-2024,"On 25 January 2024, the Israeli military fired artillery and white phosphorus shells on Aalma Ech Chaab town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported. HRW and other international organizations have accused Israel of using white phosphorus in Lebanon and Gaza",shells,0,0
Btaichiye,25-01-2024,"On 25 January 2024, the Israeli military fired artillery shells on Btaichiye town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Jebbayn,25-01-2024,"On 25 January 2024, the Israeli military fired artillery shells on Jebbayn town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Jezzine,25-01-2024,"On 25 January 2024, Israeli warplanes carried out airstrikes on Jabour heights in Jezzine district (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",airstrike,0,0
Rachaya al Foukhar,25-01-2024,"On 25 January 2024, the Israeli military fired artillery shells on Rachaya al Foukhar (Al Nabatieh, Hasbeiya) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Hasbaya,25-01-2024,"On 25 January 2024, the Israeli military fired artillery shells on Hasbaya (Al Nabatieh, Hasbeiya) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Aita ech Chaab,25-01-2024,"On 25 January 2024, Israeli warplanes and drones conducted airstrikes on Aita ech Chaab town (Al Nabatieh, Bint Jbeil) and artillery shells were also fired on the town due to continuous escalation with Hezbollah. No casualties were reported.",drone,0,0
Tyr,25-01-2024,"On 25 January 2024, the Israeli military fired artillery shells on Tyr (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Labbouneh,24-01-2024,"On 24 January 2024, the Israeli military fired five artillery and other incendiary shells on Labbouneh town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Kfar Kila,24-01-2024,"On 24 January 2024, Israeli warplanes carried out airstrikes and artillery with white phosphorus on Kfar Kila town (Al Nabatieh, Marjayoun) due to continuous escalation with Hezbollah. No casualties were reported. HRW and other international organizations have accused Israel of using white phosphorus in Lebanon and Gaza.",airstrike,0,0
Yaroun,24-01-2024,"On 24 January 2024, Israeli warplanes carried out a series of airstrikes in the vicinity of Yaroun village (Al Nabatieh, Bint Jbeil) due to continuous escalation with Hezbollah. No casualties were reported.",airstrike,0,0
Ras al Naqoura,24-01-2024,"On 24 January 2024, the Israeli military fired incendiary and artillery shells in the vicinity of Ras al Naqoura village (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
